PLAYER_NAME,year,totalPts,totalPf,totalTo,totalBlk,totalStl,totalAst,totalReb,totalDreb,totalOreb,totalFta,totalFtm,totalFg3a,totalFg3m,totalFga,totalFgm,totalGames,totalEfficiency,injury_name,status,count,player_position,team_abbreviation,age,player_height,player_weight
Al Jefferson,2015,810.0,128.0,53.0,78.0,50.0,85.0,436.0,357.0,79.0,128.0,78.0,5.0,2.0,774.0,365.0,58.0,65.0,strained left calf,out indefinitely,6,C,CHA,31.0,208.28,131.08809
Al-Farouq Aminu,2019,661.0,134.0,85.0,43.0,65.0,124.0,532.0,414.0,118.0,177.0,142.0,237.0,75.0,556.0,222.0,84.0,236.0,right knee injury,out for season,2,SF,ORL,29.0,203.2,99.79024
Alan Anderson,2013,872.0,164.0,99.0,11.0,66.0,119.0,222.0,174.0,48.0,171.0,145.0,339.0,117.0,757.0,305.0,89.0,-218.0,sore abdominal muscle,DNP,4,SF,BKN,31.0,198.12,99.79024
Alan Anderson,2014,583.0,190.0,89.0,12.0,55.0,98.0,217.0,161.0,56.0,136.0,103.0,255.0,82.0,505.0,199.0,94.0,22.0,bruised lower back,DTD,2,SF,BKN,32.0,198.12,99.79024
Alan Anderson,2015,432.0,100.0,39.0,1.0,38.0,62.0,144.0,131.0,13.0,78.0,63.0,154.0,57.0,330.0,156.0,49.0,-52.0,surgery on left ankle to remove bone fragment,DTD,6,SF,WAS,33.0,198.12,99.79024
Alan Anderson,2016,131.0,49.0,8.0,1.0,7.0,23.0,45.0,40.0,5.0,32.0,26.0,64.0,23.0,111.0,41.0,31.0,10.0,ankle injury,DTD,1,SF,LAC,34.0,198.12,99.79024
Alan Williams,2016,97.0,52.0,19.0,17.0,13.0,8.0,118.0,66.0,52.0,47.0,31.0,0.0,0.0,72.0,33.0,28.0,42.0,gastroenteritis,DTD,2,PF,PHX,24.0,203.2,117.93392
Alan Williams,2018,22.0,13.0,7.0,1.0,5.0,8.0,22.0,19.0,3.0,9.0,6.0,0.0,0.0,19.0,8.0,6.0,-5.0,ankle injury,DTD,1,PF,BKN,26.0,203.2,120.20188
Alec Burks,2012,582.0,125.0,70.0,9.0,35.0,79.0,191.0,115.0,76.0,201.0,139.0,73.0,25.0,508.0,209.0,85.0,-26.0,sprained left ankle,DNP,1,SG,UTA,21.0,198.12,91.62559
Alec Burks,2014,1128.0,193.0,161.0,11.0,65.0,213.0,288.0,239.0,49.0,427.0,328.0,162.0,58.0,830.0,371.0,76.0,-241.0,left shoulder injury,DNP,4,SG,UTA,23.0,198.12,95.70791
Alec Burks,2015,485.0,84.0,62.0,5.0,22.0,81.0,136.0,115.0,21.0,179.0,133.0,81.0,30.0,385.0,161.0,35.0,-5.0,fractured fibula in left leg,out indefinitely,5,SG,UTA,24.0,198.12,97.06869
Alec Burks,2016,11.0,2.0,2.0,0.0,2.0,4.0,9.0,9.0,0.0,0.0,0.0,4.0,3.0,9.0,4.0,3.0,12.0,sore leg,DTD,4,SG,UTA,25.0,198.12,97.06869
Alec Burks,2018,597.0,90.0,79.0,15.0,34.0,116.0,224.0,202.0,22.0,148.0,123.0,183.0,62.0,515.0,206.0,74.0,-137.0,left hand injury,DTD,1,SG,SAC,27.0,198.12,97.06869
Alen Smailagic,2019,16.0,5.0,0.0,2.0,0.0,2.0,9.0,7.0,2.0,1.0,1.0,4.0,1.0,12.0,7.0,3.0,-10.0,sprained right ankle,DTD,3,F,GSW,19.0,208.28,97.52228
Alex Abrines,2016,175.0,39.0,19.0,3.0,11.0,11.0,37.0,26.0,11.0,22.0,20.0,107.0,39.0,152.0,58.0,30.0,-66.0,bruised right hip,DTD,3,SG,OKC,23.0,198.12,86.18248
Alex Abrines,2018,408.0,126.0,25.0,14.0,41.0,40.0,124.0,102.0,22.0,44.0,40.0,277.0,100.0,346.0,134.0,78.0,118.0,illness,DTD,3,SG,OKC,25.0,198.12,90.7184
Alex Caruso,2018,134.0,47.0,39.0,9.0,29.0,72.0,64.0,49.0,15.0,31.0,23.0,44.0,13.0,113.0,49.0,34.0,5.0,strained right hip,DTD,1,G,LAL,25.0,195.58,84.36811
Alex Caruso,2019,438.0,111.0,89.0,19.0,65.0,156.0,144.0,114.0,30.0,116.0,92.0,127.0,50.0,355.0,148.0,60.0,227.0,strained right calf,DTD,6,G,LAL,26.0,195.58,84.36811
Alex Kirk,2014,28.0,12.0,3.0,2.0,0.0,1.0,14.0,8.0,6.0,10.0,10.0,0.0,0.0,24.0,9.0,8.0,-15.0,placed on IL,P,1,C,CLE,23.0,213.36,111.13004
Alex Len,2013,14.0,24.0,6.0,4.0,2.0,3.0,24.0,12.0,12.0,4.0,2.0,0.0,0.0,16.0,6.0,8.0,-13.0,left ankle injury,DNP,9,C,PHX,21.0,215.9,115.66596
Alex Len,2014,283.0,176.0,49.0,60.0,20.0,16.0,282.0,180.0,102.0,81.0,56.0,2.0,1.0,222.0,113.0,74.0,-35.0,fractured right pinky finger,out indefinitely,7,C,PHX,22.0,215.9,115.66596
Alex Len,2015,521.0,199.0,104.0,102.0,36.0,48.0,504.0,354.0,150.0,151.0,108.0,4.0,1.0,434.0,206.0,75.0,-36.0,sprained left hand,DTD,2,C,PHX,23.0,215.9,117.93392
Alex Len,2016,776.0,284.0,151.0,85.0,40.0,99.0,657.0,469.0,188.0,286.0,206.0,6.0,0.0,665.0,285.0,80.0,-450.0,bruised right hip,DTD,3,C,PHX,24.0,215.9,117.93392
Alex Len,2018,684.0,188.0,91.0,61.0,27.0,78.0,422.0,271.0,151.0,232.0,148.0,72.0,26.0,477.0,255.0,73.0,-223.0,sore back,DTD,2,C,ATL,26.0,215.9,113.398
Alex Poythress,2017,84.0,23.0,5.0,4.0,5.0,7.0,45.0,27.0,18.0,14.0,10.0,25.0,8.0,74.0,33.0,22.0,-29.0,placed on IL,out for season,1,PF,IND,24.0,205.74,106.59412
Alex Poythress,2018,153.0,66.0,18.0,14.0,12.0,24.0,88.0,54.0,34.0,33.0,17.0,37.0,12.0,117.0,62.0,35.0,-153.0,left knee injury,DTD,4,PF,ATL,25.0,205.74,106.59412
Alexey Shved,2012,330.0,65.0,74.0,9.0,27.0,142.0,88.0,70.0,18.0,75.0,57.0,149.0,47.0,291.0,113.0,33.0,28.0,sprained left ankle,DNP,5,SG,MIN,24.0,198.12,82.55374
Alexey Shved,2014,395.0,51.0,61.0,9.0,39.0,104.0,86.0,67.0,19.0,138.0,108.0,139.0,41.0,326.0,123.0,61.0,-154.0,sore lower back,DTD,5,SG,NYK,26.0,198.12,84.8217
Alfonzo McKinnie,2018,199.0,74.0,18.0,7.0,9.0,14.0,136.0,87.0,49.0,35.0,16.0,68.0,23.0,178.0,80.0,39.0,-31.0,sore left foot,DTD,1,F,GSW,26.0,203.2,97.52228
Alfonzo McKinnie,2019,322.0,145.0,37.0,16.0,24.0,29.0,246.0,171.0,75.0,48.0,28.0,132.0,42.0,281.0,126.0,90.0,-72.0,left foot injury,DTD,2,F,CLE,27.0,200.66,97.52228
Alize Johnson,2018,12.0,4.0,0.0,1.0,2.0,2.0,15.0,12.0,3.0,4.0,2.0,3.0,0.0,13.0,5.0,6.0,3.0,bruised left foot,DTD,2,F,IND,23.0,205.74,96.16151
Allen Crabbe,2013,41.0,14.0,5.0,3.0,4.0,3.0,12.0,8.0,4.0,6.0,4.0,14.0,7.0,36.0,15.0,10.0,3.0,placed on IL,out for season,1,SG,POR,22.0,198.12,95.25432
Allen Crabbe,2014,147.0,57.0,12.0,16.0,14.0,32.0,51.0,46.0,5.0,17.0,14.0,67.0,25.0,123.0,54.0,41.0,-14.0,strained left knee,DTD,1,SG,POR,23.0,198.12,95.25432
Allen Crabbe,2015,551.0,137.0,44.0,6.0,41.0,71.0,141.0,126.0,15.0,71.0,54.0,195.0,73.0,461.0,212.0,68.0,-64.0,illness,DTD,2,SG,POR,24.0,198.12,95.25432
Allen Crabbe,2016,936.0,212.0,72.0,23.0,69.0,123.0,277.0,243.0,34.0,147.0,126.0,325.0,136.0,744.0,337.0,98.0,-84.0,sore left foot,DTD,1,SG,POR,25.0,198.12,97.52228
Allen Crabbe,2017,917.0,171.0,70.0,22.0,57.0,105.0,266.0,244.0,22.0,133.0,110.0,411.0,163.0,740.0,322.0,82.0,-24.0,sore lower back,DTD,4,SG,BKN,26.0,198.12,97.52228
Allen Crabbe,2018,892.0,178.0,73.0,35.0,43.0,97.0,295.0,267.0,28.0,117.0,99.0,495.0,193.0,758.0,300.0,73.0,-110.0,sprained left ankle,DTD,6,SG,BKN,27.0,198.12,96.16151
Allen Crabbe,2019,266.0,57.0,24.0,8.0,19.0,37.0,101.0,90.0,11.0,30.0,20.0,168.0,56.0,240.0,95.0,36.0,-99.0,right knee injury,out indefinitely,6,SG,MIN,28.0,195.58,96.16151
Allonzo Trier,2018,392.0,62.0,68.0,12.0,14.0,64.0,100.0,83.0,17.0,127.0,106.0,61.0,22.0,293.0,132.0,35.0,-129.0,strained left hamstring,DTD,3,G,NYK,23.0,195.58,90.7184
Alonzo Gee,2011,329.0,89.0,51.0,16.0,37.0,44.0,168.0,114.0,54.0,96.0,75.0,56.0,18.0,257.0,118.0,44.0,-201.0,sprained left ankle,DNP,3,SG,CLE,25.0,198.12,99.33665
Alonzo Gee,2014,328.0,96.0,54.0,19.0,42.0,52.0,148.0,95.0,53.0,105.0,69.0,39.0,15.0,268.0,122.0,71.0,-153.0,oral surgery,DTD,1,SG,POR,28.0,198.12,102.0582
Alonzo Gee,2015,252.0,126.0,41.0,8.0,52.0,52.0,155.0,118.0,37.0,52.0,38.0,55.0,18.0,216.0,98.0,67.0,-217.0,torn right quadricep,out for season,1,SG,NOP,29.0,198.12,102.0582
Amar'e Stoudemire,2011,1261.0,181.0,150.0,86.0,48.0,136.0,404.0,269.0,135.0,398.0,314.0,17.0,7.0,993.0,470.0,55.0,-93.0,sprained left ankle,DNP,5,PF,NYK,29.0,210.82,117.93392
Amar'e Stoudemire,2012,850.0,151.0,118.0,43.0,37.0,53.0,380.0,268.0,112.0,253.0,194.0,18.0,2.0,659.0,327.0,49.0,-42.0,ruptured cyst in left knee,out indefinitely,4,PF,NYK,30.0,210.82,111.13004
Amar'e Stoudemire,2013,645.0,159.0,89.0,32.0,24.0,25.0,245.0,147.0,98.0,191.0,142.0,1.0,1.0,448.0,251.0,58.0,-106.0,knee injury,DNP,13,PF,NYK,31.0,210.82,111.13004
Amar'e Stoudemire,2014,986.0,210.0,124.0,60.0,31.0,56.0,472.0,319.0,153.0,267.0,202.0,3.0,0.0,707.0,392.0,76.0,-69.0,rest,DTD,7,PF,DAL,32.0,208.28,111.13004
Amir Coffey,2019,11.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,0.0,6.0,3.0,2.0,0.0,9.0,4.0,3.0,-20.0,sprained right ankle,DTD,1,G-F,LAC,23.0,200.66,95.25432
Amir Johnson,2011,434.0,162.0,44.0,57.0,35.0,57.0,305.0,187.0,118.0,94.0,72.0,1.0,0.0,312.0,181.0,45.0,-129.0,right knee injury,DTD,1,PF,TOR,25.0,205.74,95.25432
Amir Johnson,2016,643.0,252.0,95.0,72.0,59.0,171.0,554.0,353.0,201.0,144.0,93.0,48.0,14.0,460.0,268.0,95.0,114.0,sprained left ankle,DTD,3,PF,BOS,30.0,205.74,108.86208
Amir Johnson,2017,517.0,248.0,90.0,78.0,57.0,130.0,427.0,285.0,142.0,99.0,62.0,62.0,23.0,381.0,216.0,97.0,39.0,gasroenteritis,DTD,2,PF,PHI,31.0,205.74,108.86208
Amir Johnson,2018,337.0,179.0,58.0,29.0,36.0,121.0,282.0,180.0,102.0,82.0,57.0,37.0,14.0,250.0,133.0,84.0,62.0,migraine headache,DTD,2,PF,PHI,32.0,205.74,108.86208
Andray Blatche,2011,697.0,115.0,104.0,37.0,66.0,108.0,347.0,225.0,122.0,183.0,143.0,5.0,0.0,618.0,277.0,43.0,-163.0,sore right shoulder,DTD,15,PF,WAS,25.0,210.82,117.93392
Andray Blatche,2013,990.0,189.0,144.0,53.0,88.0,111.0,467.0,313.0,154.0,259.0,178.0,43.0,10.0,800.0,401.0,93.0,-27.0,hip injury,DNP,4,PF,BKN,27.0,210.82,117.93392
Andre Drummond,2013,755.0,215.0,89.0,108.0,85.0,33.0,719.0,449.0,270.0,233.0,87.0,1.0,0.0,543.0,334.0,67.0,-198.0,strained neck,DNP,1,C,DET,20.0,208.28,122.46984
Andre Drummond,2015,1459.0,296.0,158.0,151.0,107.0,79.0,1334.0,832.0,502.0,502.0,188.0,3.0,1.0,1216.0,635.0,92.0,203.0,rest,DTD,1,C,DET,22.0,210.82,126.55217
Andre Drummond,2017,1175.0,269.0,186.0,99.0,129.0,190.0,1238.0,839.0,399.0,392.0,190.0,8.0,1.0,922.0,492.0,85.0,-137.0,bruised right rib,DTD,3,C,DET,24.0,210.82,126.55217
Andre Drummond,2019,1467.0,292.0,227.0,141.0,160.0,178.0,1314.0,907.0,407.0,442.0,270.0,33.0,1.0,1099.0,598.0,85.0,49.0,left eye injury,DTD,4,C,CLE,26.0,208.28,126.55217
Andre Iguodala,2011,727.0,93.0,118.0,32.0,80.0,346.0,303.0,257.0,46.0,222.0,155.0,155.0,56.0,577.0,258.0,53.0,198.0,patella tendinitis in left knee,DNP,4,SF,PHI,28.0,198.12,93.89355
Andre Iguodala,2012,1368.0,181.0,235.0,54.0,173.0,532.0,639.0,529.0,110.0,350.0,221.0,368.0,129.0,1174.0,509.0,109.0,263.0,right cervical strain,DNP,2,SF,DEN,29.0,198.12,93.89355
Andre Iguodala,2014,710.0,132.0,118.0,22.0,113.0,295.0,357.0,293.0,64.0,175.0,107.0,214.0,71.0,581.0,266.0,87.0,529.0,rest,DTD,4,SF,GSW,31.0,198.12,97.52228
Andre Iguodala,2015,893.0,160.0,110.0,39.0,130.0,347.0,404.0,326.0,78.0,183.0,105.0,309.0,112.0,703.0,338.0,106.0,619.0,rest,DTD,6,SF,GSW,32.0,198.12,97.52228
Andre Roberson,2014,200.0,143.0,40.0,30.0,48.0,63.0,239.0,174.0,65.0,55.0,28.0,47.0,8.0,184.0,82.0,61.0,104.0,sprained left foot,DTD,2,SG,OKC,23.0,200.66,95.25432
Andre Roberson,2016,511.0,210.0,53.0,77.0,92.0,76.0,403.0,307.0,96.0,99.0,43.0,188.0,56.0,447.0,206.0,92.0,294.0,sore left knee,DTD,1,SG,OKC,25.0,200.66,95.25432
Andrea Bargnani,2010,1510.0,213.0,160.0,100.0,33.0,115.0,483.0,371.0,112.0,297.0,228.0,306.0,114.0,1277.0,584.0,83.0,-308.0,sore left knee,DNP,9,PF,TOR,25.0,213.36,113.398
Andrea Bargnani,2011,942.0,93.0,91.0,32.0,20.0,84.0,221.0,176.0,45.0,249.0,203.0,150.0,51.0,787.0,344.0,44.0,-179.0,strained left calf,DNP,8,PF,TOR,26.0,213.36,116.11955
Andrea Bargnani,2012,958.0,98.0,104.0,32.0,32.0,90.0,268.0,226.0,42.0,244.0,210.0,222.0,70.0,828.0,339.0,55.0,-133.0,sore left ankle,DNP,4,PF,TOR,27.0,213.36,116.11955
Andrea Bargnani,2013,609.0,106.0,61.0,52.0,22.0,48.0,218.0,153.0,65.0,120.0,102.0,130.0,37.0,555.0,235.0,51.0,-138.0,torn ligament in left elbow,out for season,2,PF,NYK,28.0,213.36,113.398
Andrei Kirilenko,2012,333.0,43.0,63.0,35.0,48.0,82.0,184.0,132.0,52.0,95.0,69.0,46.0,12.0,244.0,126.0,27.0,53.0,back spasms,DNP,18,SF,MIN,32.0,205.74,106.59412
Andres Nocioni,2011,109.0,43.0,17.0,3.0,3.0,21.0,66.0,58.0,8.0,22.0,18.0,41.0,13.0,100.0,39.0,26.0,-50.0,toe injury,DTD,1,SF,PHI,32.0,200.66,102.0582
Andrew Bogut,2010,1090.0,223.0,134.0,206.0,41.0,121.0,764.0,539.0,225.0,270.0,158.0,4.0,0.0,889.0,466.0,72.0,218.0,migraine headache,DNP,13,C,MIL,26.0,213.36,117.93392
Andrew Bogut,2015,531.0,290.0,128.0,152.0,47.0,219.0,706.0,529.0,177.0,62.0,29.0,1.0,0.0,421.0,251.0,95.0,529.0,concussion,DTD,9,C,GSW,31.0,213.36,117.93392
Andrew Bogut,2016,413.0,298.0,118.0,129.0,50.0,191.0,656.0,471.0,185.0,54.0,24.0,4.0,1.0,334.0,194.0,90.0,219.0,rest,DTD,12,C,CLE,32.0,213.36,117.93392
Andrew Bogut,2017,52.0,65.0,28.0,21.0,7.0,24.0,113.0,78.0,35.0,2.0,2.0,0.0,0.0,43.0,25.0,32.0,-53.0,tightness in back,DTD,2,C,LAL,33.0,213.36,117.93392
Andrew Bynum,2011,749.0,162.0,94.0,117.0,26.0,77.0,584.0,384.0,200.0,230.0,159.0,0.0,0.0,511.0,295.0,58.0,187.0,sprained left ankle,DNP,2,C,LAL,24.0,213.36,129.27373
Andrew Goudelock,2011,15.0,6.0,2.0,0.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,10.0,5.0,16.0,5.0,5.0,3.0,migraine headache,DNP,1,SG,LAL,23.0,190.5,90.7184
Andrew Nicholson,2012,300.0,76.0,32.0,16.0,11.0,12.0,129.0,95.0,34.0,58.0,42.0,0.0,0.0,251.0,129.0,37.0,8.0,illness,DNP,2,PF,ORL,23.0,205.74,113.398
Andrew Wiggins,2015,1747.0,198.0,201.0,56.0,81.0,196.0,395.0,239.0,156.0,616.0,471.0,179.0,50.0,1390.0,613.0,91.0,-458.0,sore right knee,DTD,1,SF,MIN,21.0,203.2,90.26481
Andris Biedrins,2012,81.0,165.0,26.0,57.0,29.0,22.0,238.0,185.0,53.0,20.0,5.0,0.0,0.0,67.0,38.0,69.0,-115.0,groin injury,DNP,5,C,GSW,27.0,213.36,109.769264
Andris Biedrins,2013,17.0,82.0,9.0,29.0,9.0,11.0,107.0,81.0,26.0,8.0,1.0,0.0,0.0,13.0,8.0,43.0,-64.0,sprained left  / right ankle,CBC,5,C,UTA,28.0,213.36,113.398
Andy Rautins,2010,22.0,7.0,11.0,2.0,4.0,6.0,7.0,7.0,0.0,0.0,0.0,21.0,6.0,24.0,8.0,8.0,-1.0,placed on IL,out for season,2,SG,NYK,24.0,193.04,86.18248
Anfernee Simons,2018,37.0,16.0,11.0,1.0,2.0,6.0,9.0,9.0,0.0,14.0,8.0,13.0,1.0,45.0,14.0,11.0,-46.0,illness,DTD,1,G,POR,20.0,193.04,83.91452
Anfernee Simons,2019,438.0,92.0,44.0,5.0,15.0,61.0,106.0,86.0,20.0,67.0,50.0,165.0,60.0,388.0,164.0,57.0,-213.0,concussion,DTD,1,G,POR,21.0,190.5,82.10015
Antawn Jamison,2011,650.0,83.0,49.0,23.0,36.0,56.0,232.0,175.0,57.0,174.0,130.0,156.0,52.0,560.0,234.0,32.0,-272.0,rest,DNP,1,PF,CLE,36.0,205.74,106.59412
Antawn Jamison,2013,655.0,126.0,44.0,18.0,25.0,36.0,320.0,228.0,92.0,140.0,97.0,209.0,76.0,544.0,241.0,78.0,15.0,illness,DNP,1,PF,LAC,38.0,205.74,106.59412
Ante Zizic,2018,254.0,73.0,38.0,19.0,6.0,19.0,155.0,100.0,55.0,75.0,50.0,0.0,0.0,161.0,102.0,57.0,-54.0,left knee injury,DTD,6,C,CLE,22.0,210.82,115.212364
Ante Zizic,2019,410.0,92.0,41.0,18.0,13.0,40.0,264.0,177.0,87.0,109.0,82.0,0.0,0.0,284.0,164.0,46.0,-52.0,left foot injury,out indefinitely,3,C,CLE,23.0,208.28,120.65547
Anthony Bennett,2013,139.0,73.0,38.0,7.0,15.0,13.0,94.0,65.0,29.0,44.0,28.0,54.0,13.0,156.0,49.0,33.0,-55.0,illness,DTD,16,PF,CLE,21.0,203.2,117.48033
Anthony Bennett,2014,379.0,111.0,51.0,18.0,31.0,38.0,246.0,179.0,67.0,101.0,67.0,31.0,10.0,350.0,151.0,62.0,-153.0,bruised knee,DTD,4,PF,MIN,22.0,203.2,111.13004
Anthony Bennett,2015,184.0,57.0,28.0,4.0,19.0,27.0,149.0,112.0,37.0,51.0,37.0,49.0,13.0,181.0,67.0,44.0,-170.0,sore lower back,DTD,2,PF,TOR,23.0,203.2,111.13004
Anthony Carter,2010,146.0,63.0,50.0,9.0,37.0,135.0,67.0,59.0,8.0,12.0,11.0,47.0,13.0,134.0,61.0,44.0,-7.0,illness,DTD,1,PG,NYK,36.0,187.96,88.45044
Anthony Davis,2012,354.0,53.0,46.0,44.0,24.0,18.0,214.0,147.0,67.0,100.0,74.0,6.0,0.0,289.0,140.0,24.0,-83.0,concussion,DNP,19,PF,NOH,20.0,208.28,99.79024
Anthony Davis,2013,1205.0,213.0,108.0,165.0,102.0,87.0,654.0,434.0,220.0,336.0,257.0,2.0,0.0,900.0,474.0,77.0,-24.0,fractured left hand,out indefinitely,10,PF,NOP,21.0,208.28,99.79024
Anthony Davis,2014,1826.0,198.0,123.0,222.0,115.0,131.0,818.0,594.0,224.0,549.0,436.0,17.0,2.0,1281.0,694.0,83.0,-19.0,chest injury,DTD,6,PF,NOP,22.0,208.28,99.79024
